Customer_ID,Age,Gender,Income,Purchase_Amount,Region
1,55.0,Male,70000.0,2400.0,West
2,45.0,Male,65000.0,1900.0,North
3,31.0,Male,30000.0,2400.0,East
4,59.0,Female,50000.0,1400.0,nan
5,24.0,Female,70000.0,4000.0,East
6,37.0,nan,20000.0,3900.0,West
7,55.0,Male,25000.0,3800.0,South
8,35.0,Female,70000.0,2200.0,West
9,39.0,Female,,2300.0,East
10,27.0,Male,,2100.0,West
11,27.0,Female,75000.0,4400.0,North
12,40.0,Female,25000.0,1700.0,North
13,52.0,Female,65000.0,1800.0,North
14,56.0,Male,35000.0,3400.0,East
15,40.0,Male,70000.0,,West
16,19.0,Female,25000.0,600.0,West
17,38.0,Female,,1900.0,North
18,18.0,Male,,2600.0,West
19,40.0,Male,50000.0,1400.0,South
20,46.0,nan,60000.0,1500.0,South
21,54.0,Male,65000.0,1300.0,North
22,18.0,Female,70000.0,3500.0,West
23,37.0,Female,75000.0,1900.0,North
24,49.0,Female,75000.0,1100.0,East
25,28.0,Female,70000.0,4100.0,West
26,38.0,Male,20000.0,1500.0,North
27,41.0,Female,75000.0,2700.0,East
28,43.0,Female,25000.0,3100.0,South
29,58.0,Male,20000.0,1100.0,South
30,44.0,Male,25000.0,3100.0,East
31,32.0,nan,45000.0,3900.0,South
32,31.0,Female,,2900.0,East
33,19.0,Male,60000.0,1100.0,East
34,53.0,nan,50000.0,3100.0,East
35,23.0,nan,75000.0,3100.0,West
36,37.0,Female,60000.0,4000.0,East
37,25.0,Female,60000.0,4400.0,East
38,55.0,Male,60000.0,3900.0,East
39,34.0,Male,20000.0,3000.0,South
40,20.0,Female,25000.0,2000.0,South
41,41.0,Female,55000.0,1200.0,West
42,30.0,Female,45000.0,3600.0,East
43,25.0,Male,30000.0,2300.0,South
44,42.0,Female,60000.0,1600.0,East
45,18.0,Female,35000.0,3100.0,South
46,36.0,nan,20000.0,3200.0,West
47,44.0,Female,75000.0,1600.0,North
48,23.0,Female,65000.0,4900.0,South
49,24.0,Female,75000.0,3800.0,South
50,51.0,Male,50000.0,900.0,East
51,30.0,nan,30000.0,2100.0,West
52,33.0,nan,55000.0,800.0,North
53,52.0,Male,35000.0,2800.0,West
54,56.0,Male,75000.0,500.0,North
55,20.0,Female,55000.0,1300.0,West
56,18.0,Male,30000.0,3300.0,North
57,22.0,nan,60000.0,4800.0,North
58,58.0,Male,35000.0,800.0,East
59,20.0,Male,55000.0,3600.0,nan
60,45.0,Female,50000.0,,West
61,34.0,Male,25000.0,2100.0,East
62,42.0,Male,,3500.0,West
63,50.0,Female,25000.0,1400.0,North
64,26.0,Female,30000.0,2400.0,nan
65,52.0,Male,20000.0,2900.0,East
66,30.0,Female,,2800.0,West
67,47.0,Female,45000.0,2500.0,West
68,31.0,Female,50000.0,3000.0,West
69,24.0,Male,45000.0,1600.0,East
70,30.0,Female,35000.0,3600.0,East
71,39.0,nan,70000.0,3700.0,West
72,56.0,Female,,4400.0,South
73,37.0,nan,45000.0,3800.0,nan
74,32.0,Male,75000.0,,West
75,34.0,Male,45000.0,2400.0,North
76,40.0,Female,55000.0,900.0,West
77,42.0,Female,25000.0,3100.0,East
78,41.0,Female,55000.0,2000.0,West
79,57.0,Male,,800.0,West
80,45.0,Female,,3400.0,North
81,31.0,Female,30000.0,800.0,East
82,,Female,55000.0,4100.0,West
83,41.0,Male,40000.0,600.0,South
84,23.0,nan,75000.0,2600.0,East
85,25.0,Female,65000.0,4000.0,South
86,40.0,Male,25000.0,4000.0,East
87,,Female,,1300.0,East
88,24.0,Female,30000.0,1300.0,East
89,40.0,nan,70000.0,2200.0,South
90,27.0,Male,75000.0,2000.0,East
91,33.0,Female,55000.0,2400.0,North
92,24.0,Female,25000.0,1700.0,North
93,51.0,nan,70000.0,1200.0,North
94,51.0,Male,55000.0,4900.0,North
95,49.0,Male,45000.0,,East
96,21.0,Male,70000.0,4800.0,East
97,58.0,Male,30000.0,1600.0,West
98,55.0,Female,25000.0,700.0,North
99,57.0,Male,60000.0,,West
100,44.0,Male,35000.0,4300.0,West
101,23.0,Female,35000.0,3500.0,South
102,25.0,nan,25000.0,3700.0,West
103,24.0,Male,70000.0,3100.0,nan
104,28.0,Male,55000.0,3400.0,South
105,50.0,Female,30000.0,1100.0,South
106,49.0,Male,65000.0,4200.0,West
107,39.0,Male,35000.0,2900.0,West
108,40.0,Male,30000.0,3700.0,North
109,53.0,Male,35000.0,600.0,West
110,51.0,Female,45000.0,1500.0,West
111,56.0,Male,55000.0,,West
112,38.0,Female,45000.0,4700.0,West
113,43.0,Female,75000.0,800.0,West
114,51.0,Male,35000.0,3300.0,North
115,,Male,60000.0,3300.0,South
116,51.0,Male,60000.0,2000.0,East
117,53.0,Female,45000.0,2600.0,West
118,30.0,Male,60000.0,1800.0,South
119,19.0,Male,35000.0,4000.0,East
120,,Female,25000.0,2400.0,East
121,21.0,Male,45000.0,1700.0,East
122,42.0,Male,75000.0,500.0,West
123,30.0,Male,65000.0,1400.0,West
124,55.0,Male,65000.0,4200.0,East
125,43.0,Female,20000.0,4100.0,East
126,25.0,Male,70000.0,3700.0,South
127,31.0,Female,55000.0,4100.0,East
128,31.0,Male,60000.0,3700.0,South
129,42.0,Female,60000.0,2100.0,South
130,58.0,Male,70000.0,3300.0,East
131,29.0,Male,,1800.0,North
132,48.0,nan,75000.0,3000.0,South
133,55.0,Female,40000.0,3700.0,East
134,48.0,Female,45000.0,4100.0,South
135,20.0,Male,75000.0,3600.0,South
136,46.0,Male,50000.0,2700.0,West
137,53.0,Male,60000.0,1800.0,East
138,39.0,Female,55000.0,3300.0,North
139,55.0,Male,20000.0,4500.0,West
140,31.0,Female,65000.0,2000.0,East
141,59.0,Male,60000.0,800.0,West
142,45.0,nan,20000.0,3200.0,East
143,52.0,Female,35000.0,700.0,nan
144,29.0,Female,75000.0,1300.0,West
145,48.0,Male,35000.0,2000.0,West
146,23.0,Male,40000.0,1300.0,West
147,38.0,Female,25000.0,2000.0,North
148,44.0,Male,50000.0,2300.0,South
149,18.0,Male,75000.0,2700.0,West
150,58.0,nan,,800.0,East
151,22.0,Female,40000.0,3700.0,West
152,44.0,Male,30000.0,900.0,North
153,44.0,Male,,500.0,East
154,36.0,Male,45000.0,1600.0,South
155,46.0,Female,55000.0,4600.0,East
156,27.0,Male,75000.0,4600.0,East
157,44.0,Male,30000.0,1400.0,East
158,41.0,Male,30000.0,2600.0,East
159,55.0,Male,40000.0,1900.0,East
160,49.0,Female,70000.0,3400.0,South
161,,Male,25000.0,1400.0,West
162,43.0,nan,75000.0,1900.0,North
163,29.0,Male,70000.0,1100.0,East
164,57.0,Male,40000.0,700.0,East
165,19.0,Male,45000.0,4300.0,West
166,55.0,Male,65000.0,700.0,East
167,22.0,nan,60000.0,2800.0,West
168,24.0,Female,60000.0,600.0,nan
169,43.0,Female,25000.0,3500.0,South
170,25.0,Female,45000.0,600.0,South
171,53.0,Male,25000.0,3000.0,South
172,49.0,Female,75000.0,3200.0,South
173,58.0,Male,75000.0,3500.0,East
174,40.0,Female,20000.0,2200.0,West
175,31.0,Male,70000.0,2400.0,North
176,48.0,Male,60000.0,800.0,North
177,48.0,Male,30000.0,2100.0,South
178,40.0,Male,70000.0,3100.0,West
179,57.0,Male,50000.0,4500.0,East
180,28.0,Male,75000.0,2500.0,North
181,55.0,nan,55000.0,2400.0,West
182,18.0,Male,45000.0,900.0,West
183,19.0,Male,,,North
184,53.0,Female,25000.0,800.0,East
185,33.0,Female,75000.0,4400.0,West
186,18.0,Male,70000.0,1500.0,South
187,18.0,Female,55000.0,2900.0,North
188,44.0,Female,70000.0,4900.0,North
189,39.0,Male,,3700.0,North
190,53.0,nan,55000.0,1700.0,West
191,48.0,Female,50000.0,2900.0,West
192,49.0,Male,,4800.0,North
193,,Male,40000.0,3000.0,South
194,35.0,nan,35000.0,1200.0,North
195,18.0,Female,40000.0,2900.0,North
196,42.0,Female,60000.0,2500.0,West
197,48.0,Female,70000.0,3300.0,South
198,22.0,Female,75000.0,4600.0,South
199,48.0,nan,75000.0,2000.0,South
200,20.0,nan,75000.0,2900.0,East
